date,district,month,visitors,year
01-08-2016,Nirmal,August, ,2016
01-09-2016,Nirmal,September, ,2016
01-10-2016,Nirmal,October,0,2016
01-11-2016,Nirmal,November,0,2016
01-12-2016,Nirmal,December,0,2016
01-01-2016,Nizamabad,January,0,2016
01-02-2016,Nizamabad,February,0,2016
01-03-2016,Nizamabad,March,0,2016
01-04-2016,Nizamabad,April,0,2016
01-05-2016,Nizamabad,May,0,2016
01-06-2016,Nizamabad,June,0,2016
01-07-2016,Nizamabad,July,0,2016
01-08-2016,Nizamabad,August,0,2016
01-09-2016,Nizamabad,September,0,2016
01-10-2016,Nizamabad,October,0,2016
01-11-2016,Nizamabad,November,0,2016
01-12-2016,Nizamabad,December,0,2016
01-01-2016,Peddapalli,January, ,2016
01-02-2016,Peddapalli,February, ,2016
01-03-2016,Peddapalli,March, ,2016
01-04-2016,Peddapalli,April, ,2016
01-05-2016,Peddapalli,May, ,2016
01-06-2016,Peddapalli,June, ,2016
01-07-2016,Peddapalli,July, ,2016
01-08-2016,Peddapalli,August, ,2016
01-09-2016,Peddapalli,September, ,2016
01-10-2016,Peddapalli,October,0,2016
01-11-2016,Peddapalli,November,0,2016
01-12-2016,Peddapalli,December,0,2016
01-01-2016,Rajanna Sircilla ,January, ,2016
01-02-2016,Rajanna Sircilla ,February, ,2016
01-03-2016,Rajanna Sircilla ,March, ,2016
01-04-2016,Rajanna Sircilla ,April, ,2016
01-05-2016,Rajanna Sircilla ,May, ,2016
01-06-2016,Rajanna Sircilla ,June, ,2016
01-07-2016,Rajanna Sircilla ,July, ,2016
01-08-2016,Rajanna Sircilla ,August, ,2016
01-09-2016,Rajanna Sircilla ,September, ,2016
01-10-2016,Rajanna Sircilla ,October,0,2016
01-11-2016,Rajanna Sircilla ,November,0,2016
01-12-2016,Rajanna Sircilla ,December,0,2016
01-01-2016,Ranga Reddy,January, ,2016
01-02-2016,Ranga Reddy,February, ,2016
01-03-2016,Ranga Reddy,March, ,2016
01-04-2016,Ranga Reddy,April, ,2016
01-05-2016,Ranga Reddy,May, ,2016
01-06-2016,Ranga Reddy,June, ,2016
01-07-2016,Ranga Reddy,July, ,2016
01-08-2016,Ranga Reddy,August, ,2016
01-09-2016,Ranga Reddy,September, ,2016
01-10-2016,Ranga Reddy,October, ,2016
01-11-2016,Ranga Reddy,November, ,2016
01-12-2016,Ranga Reddy,December, ,2016
01-01-2016,Sangareddy ,January, ,2016
01-02-2016,Sangareddy ,February, ,2016
01-03-2016,Sangareddy ,March, ,2016
01-04-2016,Sangareddy ,April, ,2016
01-05-2016,Sangareddy ,May, ,2016
01-06-2016,Sangareddy ,June, ,2016
01-07-2016,Sangareddy ,July, ,2016
01-08-2016,Sangareddy ,August, ,2016
01-09-2016,Sangareddy ,September, ,2016
01-10-2016,Sangareddy ,October,0,2016
01-11-2016,Sangareddy ,November,0,2016
01-12-2016,Sangareddy ,December,0,2016
01-01-2016,Siddipet,January, ,2016
01-02-2016,Siddipet,February, ,2016
01-03-2016,Siddipet,March, ,2016
01-04-2016,Siddipet,April, ,2016
01-05-2016,Siddipet,May, ,2016
01-06-2016,Siddipet,June, ,2016
01-07-2016,Siddipet,July, ,2016
01-08-2016,Siddipet,August, ,2016
01-09-2016,Siddipet,September, ,2016
01-10-2016,Siddipet,October,0,2016
01-11-2016,Siddipet,November,0,2016
01-12-2016,Siddipet,December,0,2016
01-01-2016,Suryapet,January, ,2016
01-02-2016,Suryapet,February, ,2016
01-03-2016,Suryapet,March, ,2016
01-04-2016,Suryapet,April, ,2016
01-05-2016,Suryapet,May, ,2016
01-06-2016,Suryapet,June, ,2016
01-07-2016,Suryapet,July, ,2016
01-08-2016,Suryapet,August, ,2016
01-09-2016,Suryapet,September, ,2016
01-10-2016,Suryapet,October,0,2016
01-11-2016,Suryapet,November,0,2016
01-12-2016,Suryapet,December,0,2016
01-01-2016,Vikarabad,January, ,2016
01-02-2016,Vikarabad,February, ,2016
01-03-2016,Vikarabad,March, ,2016
01-04-2016,Vikarabad,April, ,2016
01-05-2016,Vikarabad,May, ,2016
01-06-2016,Vikarabad,June, ,2016
01-07-2016,Vikarabad,July, ,2016
01-08-2016,Vikarabad,August, ,2016
01-09-2016,Vikarabad,September, ,2016
01-10-2016,Vikarabad,October, ,2016
01-11-2016,Vikarabad,November, ,2016
01-12-2016,Vikarabad,December, ,2016
01-01-2016,Wanaparthy ,January, ,2016
01-02-2016,Wanaparthy ,February, ,2016
01-03-2016,Wanaparthy ,March, ,2016
01-04-2016,Wanaparthy ,April, ,2016
01-05-2016,Wanaparthy ,May, ,2016
01-06-2016,Wanaparthy ,June, ,2016
01-07-2016,Wanaparthy ,July, ,2016
01-08-2016,Wanaparthy ,August, ,2016
01-09-2016,Wanaparthy ,September, ,2016
01-10-2016,Wanaparthy ,October,0,2016
01-11-2016,Wanaparthy ,November,0,2016
01-12-2016,Wanaparthy ,December,0,2016
01-01-2016,Warangal (Rural),January, ,2016
01-02-2016,Warangal (Rural),February, ,2016
01-03-2016,Warangal (Rural),March, ,2016
01-04-2016,Warangal (Rural),April, ,2016
01-05-2016,Warangal (Rural),May, ,2016
01-06-2016,Warangal (Rural),June, ,2016
01-07-2016,Warangal (Rural),July, ,2016
01-08-2016,Warangal (Rural),August, ,2016
01-09-2016,Warangal (Rural),September, ,2016
01-10-2016,Warangal (Rural),October,0,2016
01-11-2016,Warangal (Rural),November,0,2016
01-12-2016,Warangal (Rural),December,0,2016
01-01-2016,Warangal (Urban),January,459,2016
01-02-2016,Warangal (Urban),February,391,2016
01-03-2016,Warangal (Urban),March,230,2016
01-04-2016,Warangal (Urban),April,39,2016
01-05-2016,Warangal (Urban),May,82,2016
01-06-2016,Warangal (Urban),June,88,2016
01-07-2016,Warangal (Urban),July,53,2016
01-08-2016,Warangal (Urban),August,102,2016
01-09-2016,Warangal (Urban),September,118,2016
01-10-2016,Warangal (Urban),October,108,2016
01-11-2016,Warangal (Urban),November,97,2016
01-12-2016,Warangal (Urban),December,132,2016
01-01-2016,Yadadri Bhongir,January, ,2016
01-02-2016,Yadadri Bhongir,February, ,2016
01-03-2016,Yadadri Bhongir,March, ,2016
01-04-2016,Yadadri Bhongir,April, ,2016
01-05-2016,Yadadri Bhongir,May, ,2016
01-06-2016,Yadadri Bhongir,June, ,2016
01-07-2016,Yadadri Bhongir,July, ,2016
01-08-2016,Yadadri Bhongir,August, ,2016
01-09-2016,Yadadri Bhongir,September, ,2016
01-10-2016,Yadadri Bhongir,October,0,2016
01-11-2016,Yadadri Bhongir,November,0,2016
01-12-2016,Yadadri Bhongir,December,0,2016
01-01-2017,Adilabad,January,5,2017
01-02-2017,Adilabad,February,0,2017
01-03-2017,Adilabad,March,0,2017
01-04-2017,Adilabad,April,0,2017
01-05-2017,Adilabad,May,0,2017
01-06-2017,Adilabad,June,3,2017
01-07-2017,Adilabad,July,0,2017
01-08-2017,Adilabad,August,0,2017
01-09-2017,Adilabad,September,3,2017
01-10-2017,Adilabad,October,0,2017
01-11-2017,Adilabad,November,0,2017
01-12-2017,Adilabad,December,0,2017
01-01-2017,Bhadradri Kothagudem ,January,0,2017
01-02-2017,Bhadradri Kothagudem ,February,0,2017
01-03-2017,Bhadradri Kothagudem ,March,0,2017
01-04-2017,Bhadradri Kothagudem ,April,0,2017
01-05-2017,Bhadradri Kothagudem ,May,0,2017
01-06-2017,Bhadradri Kothagudem ,June,0,2017
01-07-2017,Bhadradri Kothagudem ,July,0,2017
01-08-2017,Bhadradri Kothagudem ,August,0,2017
01-09-2017,Bhadradri Kothagudem ,September,0,2017
01-10-2017,Bhadradri Kothagudem ,October,0,2017
01-11-2017,Bhadradri Kothagudem ,November,0,2017
01-12-2017,Bhadradri Kothagudem ,December,0,2017
01-01-2017,Hyderabad,January,19286,2017
01-02-2017,Hyderabad,February,18097,2017
01-03-2017,Hyderabad,March,13875,2017
01-04-2017,Hyderabad,April,12996,2017
01-05-2017,Hyderabad,May,12983,2017
01-06-2017,Hyderabad,June,12486,2017
01-07-2017,Hyderabad,July,18144,2017
01-08-2017,Hyderabad,August,16985,2017
01-09-2017,Hyderabad,September,27856,2017
01-10-2017,Hyderabad,October,26368,2017
01-11-2017,Hyderabad,November,29170,2017
01-12-2017,Hyderabad,December,38933,2017
01-01-2017,Jagtial ,January,0,2017
01-02-2017,Jagtial ,February,0,2017
01-03-2017,Jagtial ,March,0,2017
01-04-2017,Jagtial ,April,0,2017
01-05-2017,Jagtial ,May,0,2017
01-06-2017,Jagtial ,June,0,2017
01-07-2017,Jagtial ,July,0,2017
01-08-2017,Jagtial ,August,0,2017
01-09-2017,Jagtial ,September,0,2017
01-10-2017,Jagtial ,October,0,2017
01-11-2017,Jagtial ,November,0,2017
01-12-2017,Jagtial ,December,0,2017
01-01-2017,Jangaon ,January,0,2017
01-02-2017,Jangaon ,February,0,2017
01-03-2017,Jangaon ,March,0,2017
01-04-2017,Jangaon ,April,0,2017
01-05-2017,Jangaon ,May,0,2017
01-06-2017,Jangaon ,June,0,2017
01-07-2017,Jangaon ,July,0,2017
01-08-2017,Jangaon ,August,0,2017
01-09-2017,Jangaon ,September,0,2017
01-10-2017,Jangaon ,October,0,2017
01-11-2017,Jangaon ,November,0,2017
01-12-2017,Jangaon ,December,0,2017
01-01-2017,Jayashankar Bhoopalpally,January,85,2017
01-02-2017,Jayashankar Bhoopalpally,February,38,2017
01-03-2017,Jayashankar Bhoopalpally,March,35,2017
01-04-2017,Jayashankar Bhoopalpally,April,36,2017
01-05-2017,Jayashankar Bhoopalpally,May,40,2017
01-06-2017,Jayashankar Bhoopalpally,June,35,2017
01-07-2017,Jayashankar Bhoopalpally,July,42,2017
01-08-2017,Jayashankar Bhoopalpally,August,45,2017
01-09-2017,Jayashankar Bhoopalpally,September,56,2017
01-10-2017,Jayashankar Bhoopalpally,October,55,2017
01-11-2017,Jayashankar Bhoopalpally,November,58,2017
01-12-2017,Jayashankar Bhoopalpally,December,57,2017
01-01-2017,Jogulamba Gadwal ,January,20,2017
01-02-2017,Jogulamba Gadwal ,February,16,2017
01-03-2017,Jogulamba Gadwal ,March,32,2017
01-04-2017,Jogulamba Gadwal ,April,29,2017
01-05-2017,Jogulamba Gadwal ,May,31,2017
01-06-2017,Jogulamba Gadwal ,June,32,2017
01-07-2017,Jogulamba Gadwal ,July,34,2017
01-08-2017,Jogulamba Gadwal ,August,25,2017
01-09-2017,Jogulamba Gadwal ,September,42,2017
01-10-2017,Jogulamba Gadwal ,October,13,2017
01-11-2017,Jogulamba Gadwal ,November,21,2017
01-12-2017,Jogulamba Gadwal ,December,10,2017
01-01-2017,Kamareddy ,January,0,2017
01-02-2017,Kamareddy ,February,0,2017
01-03-2017,Kamareddy ,March,0,2017
01-04-2017,Kamareddy ,April,0,2017
01-05-2017,Kamareddy ,May,0,2017
01-06-2017,Kamareddy ,June,0,2017
01-07-2017,Kamareddy ,July,0,2017
01-08-2017,Kamareddy ,August,0,2017
01-09-2017,Kamareddy ,September,0,2017
01-10-2017,Kamareddy ,October,0,2017
01-11-2017,Kamareddy ,November,0,2017
01-12-2017,Kamareddy ,December,0,2017
01-01-2017,Karimnagar ,January,0,2017
01-02-2017,Karimnagar ,February,0,2017
01-03-2017,Karimnagar ,March,0,2017
01-04-2017,Karimnagar ,April,0,2017
01-05-2017,Karimnagar ,May,0,2017
01-06-2017,Karimnagar ,June,0,2017
01-07-2017,Karimnagar ,July,0,2017
01-08-2017,Karimnagar ,August,0,2017
01-09-2017,Karimnagar ,September,0,2017
01-10-2017,Karimnagar ,October,0,2017
01-11-2017,Karimnagar ,November,0,2017
01-12-2017,Karimnagar ,December,0,2017
01-01-2017,Khammam,January,0,2017
01-02-2017,Khammam,February,0,2017
01-03-2017,Khammam,March,0,2017
01-04-2017,Khammam,April,0,2017
01-05-2017,Khammam,May,0,2017
01-06-2017,Khammam,June,0,2017
01-07-2017,Khammam,July,0,2017
01-08-2017,Khammam,August,0,2017
01-09-2017,Khammam,September,0,2017
01-10-2017,Khammam,October,0,2017
01-11-2017,Khammam,November,0,2017
01-12-2017,Khammam,December,0,2017
01-01-2017,Komaram Bheem Asifabad,January,0,2017
01-02-2017,Komaram Bheem Asifabad,February,0,2017
01-03-2017,Komaram Bheem Asifabad,March,0,2017
01-04-2017,Komaram Bheem Asifabad,April,0,2017
01-05-2017,Komaram Bheem Asifabad,May,0,2017
01-06-2017,Komaram Bheem Asifabad,June, ,2017
01-07-2017,Komaram Bheem Asifabad,July,0,2017
01-08-2017,Komaram Bheem Asifabad,August,0,2017
